,Burt:	Why didn't you show up for class this morning?	,label
258,i noticed this problem more than three times. I have complained to costumer care number provided to us. But they don't take any action and they give another costumer number and waste our time. ,1
259,It irritates so much. So please take any action so we can satisfy of our purchase.,1
260,Car number : ch01bp9002,1
261,It's nearly 2 years 6 months since i bought tata tiago and it has the tendency of breaking down after the travelling certain kilometres. ,1
262,"I complaint at jkr, motors kangra, hp and they said there's a problem with the fuel pump and it needs to be replaced but they don't have the part because of shortage. ",1
263,It's been nearly 2 years but they kept saying the same thing. ,1
264,"Now my warranty after 2 years is over and i had to pay for the part which i got replaced at sandhu motors, pathankot, punjab. ",1
265,This is all company's fault to issue these cars with faulty parts. Look into the matter or we have a group of 8 persons with same problem who are now willing to file a case against the company,1
266,Thank you.,1
267,"The incident happen on 22.06.2019 at 12:20 pm when on the centre of the road my tata tiago car is suddenly stop (Breakdown), ",1
268,i try my best to start but not.,1
269,My family is in the car my good luck the car is just stop due to hand break otherwise some thing happen with my family. ,1
270,After that i suddenly call at toll free number (24 x7 helpline) and my call was logged vide number ,1
271,Tata Motors  tata tiago stop on hills [Resolved],1
272," Ajay Gurdal on Jun 16, 2019",1
273,During my Chitkul trip I faced problem with my Tata Tiago xz petrol. ,1
274,Engine of car switch off automatical and refuse to start. ,1
275,"Same problem was happened with all Tiago models in Chitkul. Some one Tata tiago informed me that switch of[censored]r vehicle, open Ur car bonet and fuel tank cap, and trying to start after 30minutest this trick worked. ",1
276,He told me that when Tiago engine got heat then fuel tank stop supplying fuel to engine.,1
277,Kindly solve this problem,1
278,1-[protected] and they assured me to provide technician with in hour. ,1
279,I am waiting for the technician for 2-3 hours but no one is coming on the spot for rectified the fault. ,1
280,That time i think what a worst service of tata motors. ,1
281,"Presently, i have 3 to 4 cars of tata motors.",1
282,My family bear the hot waves in the summer. ,1
283,I think i have definitely logged the complaint to consumer court for the worst service of tata motors in jammu. ,1
284,Then i call local service engineer from the nearest service centre sandeep motors and they guys take my car to service centre and the same is restored in a short span of time. ,1
285,Please look into the matter seriously and meet you in the consumer court shortly.,1
286,We have purchased new trailer truck tata signa 5523 from your company as on dated 15.05.219,1
287,"But this truck brake not properly working from 9 days, this reason we have already idle stand trailer tata signa 5523 at your workshop as on date 20.05.2019, ",1
288,which is currently idle stand at workshop for repair.,1
289,MH-14-GY-2039 on 21-Jun-18.,1
290,"Sorry, I'm late. my car (has broken/broke) down.",1
291,"Oh. That's point makes me confused. Thank you RM1. Sometimes I see they use ""has broken"", sometimes ""broke"". Now I see. Thank you.",1
292,"If the car has already been repaired, you would have to say ""Sorry I'm late, my car broke down"".",1
293,"If it broke down on my way here, and hasn't yet been repaired, then either ""broke"" or ""has broken"".",1
294,"But if it broke down yesterday and is still unrepaired, then ""... my car has broken down""",1
295,My car broke down refers to a past event.,1
296,My car has broken down describes my present situation.,1
297,"My present situation doesn't explain why I arrived late. My late arrival is explained by a past event. That's why I would say ""Sorry I'm late. My car broke down.""",1
298,"My present situation might explain a present or future problem, so I would say ""Sorry I can't offer you a ride. My car has broken? down.""",1
299,This is a breakdown of all my travel expenses in relation to the Asia trip I had last month. Please charge these as part of the training expenses:,1
300,Read more: Vehicle breakdown intimation letter? - Vehicle broken down & reported late to work :: Ask Me Fast at https://www.askmefast.com/Vehicle_breakdown_intimation_letter-qna8907153.html#q4316028,1
301,This is a breakdown of all my travel expenses in relation to the Asia trip I had last month. Please charge these as part of the training expenses:,1
302,We are facing issue like car stops in every long drive in highways around 200 km of drive. We faced this issue almost 6 times and informed the respective service station. ,1
303,"They did servicing, but still it is of no use. ",1
304,Please do some thing which should help us to solve this problem as soon as possible and it is causing lot of inconvenience for us.,1
305,Last 10 months ago. Already more than 3 times car has been breakdown on mid highway.. ,1
306,I has personaaly towed to nearest point to my office near to guinea motors showroom.. ,1
307,"All time they charge and last time they provide a 8, 000 paid amc, as permanent solution to it...",1
308,TATA Tigor MH-14-GY-2039 vehicle shift down from 5th gear to 2nd gear when running on the road during travel. ,1
309,After that we took vehicle to road side but vehicle not allowed me put 5th and reverse gear.,1
310,We took vehicle to Tata Motors service center and found that it was a manufacturing defect.,1
311,Its seems to big safety and quality issue of TATA motors.,1
312,"Bought tata nexon on 13 nov 2018, barely 15 days back and music system hanged 4 times within 15 days.. And on thursday the first and second gear stopped working. The car stopped on road...",1
313,Service center told me that there was some manufacturing defect and electronic problem so clutch plate is burnt... Pl get the car replaced or return my money... ,1
314,I am mailing the company and they have stopped responding... Deogiri auto from where i bought the car repaired it and gave me... But if there was a defect in the manufacturing of car why dont the company replace it or return my money... I am doctor,1
315,and i have to drive at night in an emergency... I am scared to drive thiscar now... ,1
316,Stop and park the vehicle in a safe place as,1
317,far off the road as practical.,1
318,"? Avoid stopping around blind corners, just",1
319,"over crests, on bridges or where roads are",1
320,very narrow.,1
321,? Use hazard lights to warn other road users.,1
322,"? In poor light, activate the parking lights.",1
323,? Obtain the contact details of roadside,1
324,assistance providers from information,1
325,contained within the vehicles glove box,1
326,? Do not attempt to repair the vehicle.,1
327,"? If it is safe to do so, leave the vehicle and",1
328,move behind a safety barrier if available. It is,1
329,safer for the driver and passengers to keep,1
330,away from the road and well clear of the,1
331,"vehicle, while waiting for help to arrive. If it is",1
332,not safe to leave the vehicle stay in the,1
333,vehicle and buckle up the seatbelt.,1
334,? Exit the vehicle on the passengers side. It is,1
335,safer for the driver and passengers to exit the ,1
336,vehicle via the passenger side.,1
337,? Close the vehicles bonnet once help has been,1
338,arranged. If other drivers see an open bonnet,1
339,they may stop to render assistance which could,1
340,further compromise everyones safety.,1
341,A guide to what to do if your car breaks down,1
342,"If your vehicle lets you down, we'll be there for you. If you're insured with LV=, we've put together a short video guide about what to do in the event of a breakdown.",1
343,"If possible, try to pull over to the hard shoulder or as far left or as away from the road as possible. Switch on your hazard lights and, if it's dark or the light is bad, keep your side lights on. If you can't get your vehicle clear of the road only leave you vehicle if you can do so safely.",1
344,If you cannot safely exit the vehicle and decide to stay in it keep your seat belt on at all times. If you can safely leave your vehicle leave by the passenger door and keep well back from the road on a verge or on the other side of the barrier if there is one. Keep a clear view of the oncoming traffic and don't stand in front of your vehicle.,1
345,"Break down cover very bad, unhelpful and no regard for a member of 21 years. Did not agree to cover on ket assist, had to wait for 7 hours",1
346,"Broke down sunday morning approx 11am 1mile from junction 6 on the M56 heading east, AA patrol was with us within 10 minutes,he escorted us off the hard shoulder to a safer location, diagnosed the problem, ",1
347,"a fuel injector which could not be fixed roadside. We were given a choice of options so we asked to be taken to my local Ford dealers. He then suspend towed us to Chester services where a flat bed relay recovery truck was waiting we thanked the patrol man and boarded the relay and was taken to my garage in Pwllheli some 120 miles from the start. what a great pair of guys,",1
348,Your engineer arrived within 30 minutes and sorted the problem .,1
349,Excellent service from (Richard?) - from AA breakdown in Dunedin today - thank you so much for the awesome and friendly service - helpful with explanations and suggestions - dealt with efficiently and thoroughly when I was stuck at a local beach carpark with dogs in a vehicle that wasnt going anywhere! ,1
350,He didnt even mind getting his ears washed by my 2 Whippets!!,1
351,Please pass on my thanks - Cheryl,1
352,There was huge chance of accident to be happened on road as the vehicle shifts from 5th gear to 2nd gear when it was on full running mode.,1
353,"Cannot fault youre service,youre man 100% brilliant ,cannot praise him enough",1
354,Technician arrived quickly and resolved the issue in no time at all with the minimum of fuss,1
355,My car was refusing to start so I called the AA using the app and was able to track the progress of the van as it made its way to me. It actually arrived while the app still gave its location as being a mile away but better early than late! The mechanic was great - friendly and efficient. He diagnosed the problem quickly (dodgy fuel pump) and though he couldnt fix it he managed to get the car started so I could take it in for repair.,1
356,After seeing/hearing several good reviews on Zoom from friends and relatives I decided to make my first reservation. But it turned out to be a nightmare.,1
357,"I booked XUV from 05:00 AM 12 May 2016 to 11:00 PM 14 May. My BOOKING ID is JPS6VUSB0. I paid a total of 18590 INR including 5000 as the security deposit. We started to OOTY at 5:45 am on 12th May with kids, wife and elderly parents. After travelling 200 kilometers the vechicle started showing signs of bad clutch.",1
358, The clutch pedal will not raise off the floor. The hydraulics to the clutch stopped working. It looked like the master cylinder has gone out. This happenned exactly in front of Gudlupet government bus stand at 10 am. ,1
359,"The response from Zoom customer care was not prompt. After making several calls to customer care, they registered a complain for the break down and informed us that Mahindra Road Side Assitance (RSA) will pick up the vehicle and tow it for repair. The complain number provided was 75046. Zoom did not offer any alternate vechicle for our trip though I mentioned that I have made hotel reservations in OOTY. ",1
360,"Instead they suggested to make our own taxi reservations for the trip. They also said, ",1
361,1) The amount paid for the remaining hours would be refunded.,1
362,2) That Mahindra would provide a taxi for one way drop to our destination OOTY out of which first 50 km would be free. ,1
363,3) The amount for the taxi would be refunded.,1
364,Later a Mahindra RSA calls me around 12 pm and informs that the towing truck along with a custody person had been arranged and that they would be providing the taxi to our destination OOTY. After some time the 3rd party taxi operator arranged by Mahindra called me and said that we would have to pay a 2-way charge for the trip to OOTY and the car would be sent from Mysore which is 50 km away from Gundlupet. ,1
365,I was not ready for this option since we had to pay for 2 way and moreover we have no car for site seeing in OOTY. The hotel I booked was outside the city and a car is an absolute requirement. So I asked them not to make a taxi reservation.,1
366,Finally the custody person Sameer arrives at 1:45 pm.He inspected the vechicle and said that this was a hydralic failure and could also happen to the a brand new car and there was no fault of mine. We handed over the vechicle at 2 pm after some documentation. So I was stuck in Gundlupet for 4 hours. I had to make my own transport arrangements which costed me a heavily. ,1
367,"When I called the customer care on 15th May at 7:45 am they mentioned that INR 5OOO from my account has been deducted towards vechicle damages. When I asked the reason, they did not know why and said they would register a complain and that I would receive a call within an hour. The number given was 185382. They did not mention anything about refunding the remaining amount.",1
368,I am still waiting to hear back from Zoom.,1
369,How to Deal with a Car Breakdown,1
370,Evaluate your surroundings and make sure everyone is safe.,1
371,"Pull your vehicle over to the shoulder, away from traffic around you.",1
372,Turn off the vehicle and allow it to rest.,1
373,Call any roadside assistance or motor club you may have.,1
374,"Wait for help inside of the car with hazard lights on, do not attempt to diagnose the issue unless you are aware of what youre doing and located in a safe environment.",1
375,"The good news is that when an issue with your car does arise, it can usually be quickly resolved by a technician who knows what theyre doing and has the right replacement parts on-hand. However, as technology becomes an ever-more present factor in all of our products, our vehicles are not as simple to fixed as they once were. And with the national labor rate increasing on a yearly basis, these vehicles that we rely on so desperately might soon be too costly to operate altogether.",1
376,When The Breakdown Occurs,1
377,"If Youre Driving: Evaluate your surroundings and the nature of your problem. If you can make it to a safe, open area  such as a parking lot  then try to do so. ",1
378,"Otherwise, pull over to the side of the road, and as far as you can go while still remaining on flat, level terrain. Your goal is to get as far away from traffic  and the chance of a collision  as possible. ",1
379,Remember to turn on your emergency flashers to alert other drivers to your problem.,1
380,"Do not try to push a disabled car off the road if theres any other traffic around. Similarly, do not remain in the car if there is any chance it could be struck by another vehicle. Exit the vehicle on the side away from traffic.",1
381,"If Youre Not Driving: Consider how important your plans for the day are, and contact whoever needs to know about the situation. This may be your spouse, your boss, your childs daycare center, and so on. Let them know your status and your plan to have the car repaired, then move on to the next step.",1
382,"Your car breaking down on a busy highway or interstate not only puts you at risk, but other drivers as well. With cars, SUVs and semis zooming by, its easy to panic. So what should you do if your car breaks down on the highway?",1
383,"You can prepare, minimize stress and maintain calm by keeping the following guidelines in mind and being ready for breakdowns before they happen.",1
384,"Preventive maintenance and repairs are always best. But even with good maintenance, things happen - especially with todays advanced vehicle technology. Modern cars are often vulnerable to hard-to-fix technical failures. Keyless ignition may drain batteries faster, for example, and tire-inflation kits, in lieu of spares, dont always work.",1
385,Steer clear at the first sign of trouble,1
386,Steer your vehicle as far out of the travel lanes as possible. Note your location for police or other responders.,1
387,"If you can pull over to the side of the road, exit through the passenger-side door, away from traffic, then stand far away - behind the guardrail, if possible. Many oncoming drivers tend to steer toward whatever theyre looking at, whether it's a crash ahead or a car breakdown on the roadside. ",1
388,"Next, call attention to yourself and your vehicle. You want to be seen quickly from as far a distance as possible. Turn on your hazard lights, don a reflective vest, wave a flashlight and set up reflective triangles or flares.",1
389,"If you cant remove the vehicle from the travel lane and cant exit, contact emergency services, turn on your hazard lights and keep your seatbelt on.",1
390,Prepping for car breakdowns,1
391,"Despite vehicle advances, it's likely youll have a car breakdown at some point, such as a blown tire from a nail or roadway debris. Stay safe by being prepared for such emergencies. Kits are inexpensive and may be bought at discount or drug stores.",1
392,Consider keeping the following items in your car: ,1
393,Cell phone with charger,1
394,Notebook and pencil,1
395,Extra medications,1
396,Vehicle operating manual,1
397,"Emergency service info, such as phone numbers",1
398,Flashlight and extra batteries (these should be checked often),1
399,Drinking water and preserved food,1
400,Jumper cables Tire-pressure gauge Reflectors or flares,1
401,Signal flag or reflective vest or scarf Windshield-washer fluid and wiping cloth,1
402,Coolant Fire extinguisher,1
403,"Ice scraper, snow brush, snow shovel and cat litter, in lieu of sand, where needed",1
404,Heavy gloves Thermal or safety blanket,1
405,A chemical heat source such as hand warmers Candles and waterproof matches,1
406,Jack and a flat board for soft surfaces Lug wrench for changing flats,1
407,"Toolkit with screwdriver, pliers, duct tape and adjustable wrench",1
408,Umbrella Extra fuses and fan/alternator belt,1
409,Park the car off the road,1
410,"You are driving along and jamming out to a Maroon 5 song, and suddenly you hear a sputtering sound and your vehicle starts behaving strangely! Well, the first step after a car breakdown is to keep your cool and not try to brake hard. Take your foot smoothly off the accelerator and try to direct it towards the side of the road. Whatever you do, signal your intention to the drivers driving behind you. If changing the lane is necessary, carefully watch the traffic.",1
411,Flash emergency lights,1
412,"You will need to give signals that your automobile is in trouble and make it visible so that others dont hit it accidentally. Alert other drivers about your car problems by putting reflectorized triangles behind the vehicle. Use emergency flashers and switch on the interior dome light. If the battery is dead, raise the hood and hang a handkerchief or t-shirt out of the window or tie to the radio antenna. It will send police officers a signal that you need help.",1
413,DONT Try to Fix these Car Problems by Yourself!,1
414,Car Engine Vibrations: Know How to Fix the Issues,1
415,Call for help,1
416,"Look for the landmarks or sign boards to find out where you are, especially when you are driving through an unknown area. Figuring out the location will help you to guide you the tow truck operator should you have called them.",1
417,"Wait inside the car and use your cell phone to ask for help. If you dont have the number of any repair shop, ask for the police help. Remember not to open the door for any unknown person except for emergency personnel or a uniformed police officer.",1
418,car breakdown,1
419,Call for help as soon as possible.,1
420,Get out of the car carefully,1
421,"If you cant take the vehicle out of the roadway, get out of it and stand away. Wait until the help arrives. You should also get out and keep a safe distance if theres any sign of smoke. However, dont stand behind it because it can roll any time and dont leave it abandoned.",1
422,Some Precautions You Should Take,1
423,"Car breakdown comes without giving any warning. So, dont let it surprise you. Keep some tools and equipment within the vehicle to tackle emergency situations. Keep a first aid kit, a charged battery, a flashlight, a spare tire, fire extinguisher, and water.",1
424,"Also, consider buying a spare tire if one didnt come with the car.",1
425,Calling for help,1
426,"When out of harms way, assess the situation and call for help, such as from Nationwides Roadside Assistance, which will be there when your car breaks down on the highway, when you have a flat, need a jump or get locked out. ",1
427,"You can also lessen your stress with a set of emergency numbers ready so that you dont have to look them up. These include loved ones, police and your roadside assistance 800 number. Keep them in your phone as well as on a paper attached to your insurance and registration info. ",1
428,"Staying calm, steering out of traffic if possible, and being prepared for an emergency can help you stay safe when your car breaks down on the highway.",1
429,24 hour call centre will co-ordinate and ensure that the roadside assistance service provider reaches the breakdown spot within the committed time. The centre will identify the closest Authorised Service Provider (ASP) near the breakdown spot and put you through a conference call with the ASP.,1
430,The ASP will reach you and make the vehicle roadworthy. Towing and cab arrangements are also made for vehicles that cannot be repaired at the spot. The vehicle can be towed to the place of your choice or repaired at any of our outlets.,1
431,5000+ Authorised Service,1
432,Flat or faulty battery,1
433,"If youve got a problem with your battery, theres a good chance itll be down to lots of short journeys or a poor electrical connection. Battery faults are the most common cause of breakdown  especially in the winter.",1
434,"When your car is serviced, the garage should check that connections are secure and that the battery terminals are clean and protected from corrosion. Read more about how our patrols test batteries and get you going again.",1
435,Damaged tyres and wheels,1
436,"Check your tyres tread depth regularly. If you can see uneven tyre wear, your wheels might be misaligned. Get a tyre specialist to check, or take your car to a tyre centre.",1
437,If you've got a spare wheel make sure that it's got plenty of tread and that it's inflated ready for use  you never know when you might need it.,1
438,"Many cars now only have a tyre inflator and sealant kit. If you have a jack, make sure that it is in good condition and easily accessible, along with any wheel removal tools and locking wheel nut adaptor.",1
439,If youre driving with heavy loads make sure you adjust your tyre pressure to cope with the change. You can usually find this information in your handbook.,1
440,Alternator faults,1
441,"If youre experiencing persistent battery problems and dim headlights when your engine is idling, you could have a fault with your alternator. Call us out on 0800 88 77 66, or give your garage a ring as soon as you can.",1
442,"If your ignition warning light comes on and the engine temperature rises quickly, the belt that drives the alternator and water pump could have broken. This is a serious problem. Stop right away and give us a call on 0800 88 77 66. Do not restart your engine.",1
443,Starter motor,1
444,"Although starter motors are usually tough and robust, they do fail eventually. But as long as you get your car serviced regularly, any potential faults should get picked up before they cause you any problems.",1
445,Fuel problems,1
446,"Put the wrong fuel in your engine? It does happen to around 133,000 drivers every year, but dont start your engine. Give us a call on 0808 278 8464 and our dedicated Fuel Assist technicians can drain and flush the fuel out of your system. Theyll have you back up and running in no time at all.",1
447,Clutch cables,1
448,"The clutch cable is under a lot of stress. And if it breaks, it can be a serious problem. Its best to get it checked if you notice any change to the way the clutch feels when you press the pedal. If your clutch cable does break, pull over in the nearest safe spot and call us on 0800 88 77 66. Our patrols can usually make temporary repairs at the roadside, to get you home or get you to the nearest garage.",1
449,Spark plugs,1
450,Spark plugs can break or wear out but shouldn't be a problem as long as your car is serviced regularly.,1
451,HT (high-tension) leads,1
452,"HT leads, which carry high voltage to the spark plugs, deteriorate with age which can make it difficult to start your car. Damp-repellant sprays like WD-40 can help, but it's best to ask a garage to check over the ignition system if you're having starting problems. Regular servicing should help avoid problems in the first place.",1
